category,experiment,split,n_cases,tta,macro_f1,balanced_accuracy,accuracy,macro_auroc,status
final,accepted_equal_geometric_cross_attention_plus_mlp,heldout,36,cross_attention_8x_mlp_none,0.629629630,0.622222222,0.666666667,0.729073584,accepted
component,original_cross_attention,heldout,36,8x,0.583333333,0.572222222,0.611111111,0.691786694,accepted_component
component,encoder_meanmax_mlp,heldout,36,none,0.583934584,0.588888889,0.638888889,0.746373457,accepted_component
component,original_cross_attention,oof,252,none,0.398259595,0.399692297,0.428571429,0.592236423,baseline
component,original_cross_attention,oof,252,8x,0.400336380,0.403749915,0.436507937,0.606713896,baseline
pooling_ablation,matched_gap,heldout,36,none,0.429292929,0.453703704,0.500000000,0.666669116,rejected
pooling_ablation,matched_gap,heldout,36,8x,0.530036630,0.522222222,0.555555556,0.698856065,rejected
pooling_ablation,matched_gap,oof,252,none,0.287120030,0.338395695,0.404761905,0.545239359,rejected
pooling_ablation,matched_gap,oof,252,8x,0.288748652,0.344445894,0.412698413,0.545462632,rejected
augmentation,continued_cross_attention_mild_da_best_f1,oof,252,none,0.398177800,0.399006366,0.408730159,0.589685188,rejected_neutral
augmentation,continued_cross_attention_mild_da_best_auroc,oof,252,none,0.405942680,0.408094948,0.420634921,0.590995189,rejected_small_gain
augmentation,fresh_cross_attention_mild_da,oof,252,none,0.433221997,0.433090359,0.440476190,0.582439242,rejected_nontransfer
augmentation,fresh_cross_attention_mild_da,heldout,36,none,0.388888889,,,0.673159171,rejected
augmentation,fresh_cross_attention_mild_da,heldout,36,8x,0.542232278,,,0.704719038,rejected
augmentation,restored_rich_intensity_fresh_head_fold0,oof_fold0,51,none,0.366733537,0.384032634,0.372549020,0.622847132,rejected
augmentation,panda_default_da_phase_b_fold0,oof_fold0,51,none,0.200913242,0.333333333,0.431372549,0.461153256,rejected_collapse
augmentation,panda_mild_geometry_pooling_mlp_fold0,oof_fold0,51,none,0.279956427,0.369463869,0.450980392,0.598820599,rejected_collapse
augmentation,panda_original_backbone_whole_roi_fold0,oof_fold0,51,none,0.200913242,0.333333333,0.431372549,0.613922541,rejected_collapse
augmentation,panda_high_signal_no_rotation_scaling_fold0,internal_sampled_fold_validation,,not_applicable,0.188405797,0.333333333,,0.612008547,rejected_one_class_gate_not_formal_oof
feature_augmentation,paired_meanmax_mlp_no_noise,oof,252,none,0.531242621,0.530456289,0.547619048,0.667513029,baseline
feature_augmentation,paired_meanmax_mlp_noise_dropout,oof,252,none,0.535832633,0.535832633,0.551587302,0.649139369,rejected_nontransfer
feature_augmentation,paired_meanmax_mlp_noise_dropout,heldout,36,none,0.550000000,0.550000000,0.583333333,0.747813786,rejected
feature_augmentation,paired_meanmax_mlp_noise_dropout_seed20260804,oof,252,none,0.538252843,0.542138848,0.555555556,0.671754913,rejected_unstable
feature_augmentation,paired_meanmax_mlp_noise_dropout_seed20260804,heldout,36,none,0.431121166,0.453703704,0.500000000,0.745895797,rejected
tta,original_cross_attention_axis0_pair,oof,252,2x_axis0,0.415601076,0.417886367,0.448412698,0.597925501,rejected
tta,original_cross_attention_axis1_pair,oof,252,2x_axis1,0.415733001,0.419622931,0.452380952,0.602134193,rejected_nontransfer
tta,original_cross_attention_axis1_pair,heldout,36,2x_axis1,0.484915825,0.485185185,0.527777778,0.688266706,rejected
tta,original_cross_attention_axis2_pair,oof,252,2x_axis2,0.380251393,0.384147755,0.416666667,0.589814856,rejected
tta,original_cross_attention_flip_plus_gamma,oof,252,8x_plus_gamma,0.398321631,0.401428861,0.432539683,0.605785550,rejected
tta,encoder_meanmax_mlp,heldout,36,flip_tta,0.524074074,0.524074074,0.527777778,0.687039487,rejected
segmentation,original_fivefold_nnunet,heldout,36,ensemble,,,,,accepted_whole_dsc_0.9325_lesion_dsc_0.6308
